2019/03/01 14:56:07.747 [I]  Downloading blogs/built/assets/icons/clock.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/clock.svg
2019/03/01 14:56:07.748 [I]  Downloading blogs/built/assets/icons/close.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/close.svg
2019/03/01 14:56:07.748 [I]  Downloading blogs/built/assets/icons/cloud.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/cloud.svg
2019/03/01 14:56:07.748 [I]  Downloading blogs/built/assets/icons/compass.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/compass.svg
2019/03/01 14:56:07.749 [I]  Downloading blogs/built/assets/icons/content.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/content.svg
2019/03/01 14:56:07.749 [I]  Downloading blogs/built/assets/icons/cycle.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/cycle.svg
2019/03/01 14:56:07.749 [I]  Downloading blogs/built/assets/icons/diamond.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/diamond.svg
2019/03/01 14:56:07.749 [I]  Downloading blogs/built/assets/icons/download-circle.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/download-circle.svg
2019/03/01 14:56:07.749 [I]  Downloading blogs/built/assets/icons/computer.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/computer.svg
2019/03/01 14:56:07.750 [I]  Downloading blogs/built/assets/icons/download.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/download.svg
2019/03/01 14:56:07.750 [I]  Downloading blogs/built/assets/icons/eco-globe.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/eco-globe.svg
2019/03/01 14:56:07.750 [I]  Downloading blogs/built/assets/icons/eco-lightbulb.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/eco-lightbulb.svg
2019/03/01 14:56:07.750 [I]  Downloading blogs/built/assets/icons/email-love-letter.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/email-love-letter.svg
2019/03/01 14:56:07.750 [I]  Downloading blogs/built/assets/icons/email-send.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/email-send.svg
2019/03/01 14:56:07.766 [I]  Downloading blogs/built/assets/icons/email.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/email.svg
2019/03/01 14:56:07.767 [I]  Downloading blogs/built/assets/icons/external.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/external.svg
2019/03/01 14:56:07.767 [I]  Downloading blogs/built/assets/icons/facebook.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/facebook.svg
2019/03/01 14:56:07.768 [I]  Downloading blogs/built/assets/icons/file-text-document.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/file-text-document.svg
2019/03/01 14:56:07.768 [I]  Downloading blogs/built/assets/icons/folder.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/folder.svg
2019/03/01 14:56:07.769 [I]  Downloading blogs/built/assets/icons/ghost-logo.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/ghost-logo.svg
2019/03/01 14:56:07.769 [I]  Downloading blogs/built/assets/icons/github-outline.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/github-outline.svg
2019/03/01 14:56:08.142 [I]  Download 20171209/icon.png => /Users/acgpiano/github/imgcdn/qiniu/20171209/icon.png success 5.28KB/s
2019/03/01 14:56:08.142 [I]  Downloading blogs/built/assets/icons/github-star.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/github-star.svg
2019/03/01 14:56:08.143 [I]  Download blogs/built/assets/icons/arrow-left-small.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/arrow-left-small.svg success 0.70KB/s
2019/03/01 14:56:08.143 [I]  Downloading blogs/built/assets/icons/github.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/github.svg
2019/03/01 14:56:08.144 [I]  Download blogs/built/assets/icons/brackets.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/brackets.svg success 0.52KB/s
2019/03/01 14:56:08.145 [I]  Downloading blogs/built/assets/icons/globe.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/globe.svg
2019/03/01 14:56:08.148 [I]  Download blogs/built/assets/icons/email-send.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/email-send.svg success 1.29KB/s
2019/03/01 14:56:08.148 [I]  Download blogs/built/assets/icons/file-text-document.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/file-text-document.svg success 0.94KB/s
2019/03/01 14:56:08.148 [I]  Downloading blogs/built/assets/icons/grab.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/grab.svg
2019/03/01 14:56:08.148 [I]  Downloading blogs/built/assets/icons/graph-line.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/graph-line.svg
2019/03/01 14:56:08.149 [I]  Download blogs/built/assets/icons/arrow-down.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/arrow-down.svg success 0.76KB/s
2019/03/01 14:56:08.149 [I]  Download blogs/built/assets/icons/ambulance.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/ambulance.svg success 1.84KB/s
2019/03/01 14:56:08.149 [I]  Downloading blogs/built/assets/icons/heart-beat.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/heart-beat.svg
2019/03/01 14:56:08.149 [I]  Downloading blogs/built/assets/icons/heart-circle.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/heart-circle.svg
2019/03/01 14:56:08.151 [I]  Download blogs/built/assets/icons/bookmark-article.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/bookmark-article.svg success 0.32KB/s
2019/03/01 14:56:08.151 [I]  Download blogs/built/assets/codemirror/codemirror-2a73a08248af3b90d97b81060957ec90.css => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/codemirror/codemirror-2a73a08248af3b90d97b81060957ec90.css success 0.92KB/s
2019/03/01 14:56:08.151 [I]  Downloading blogs/built/assets/icons/hotspot.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/hotspot.svg
2019/03/01 14:56:08.151 [I]  Downloading blogs/built/assets/icons/icon.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/icon.svg
2019/03/01 14:56:08.153 [I]  Download 20171208/3f4cc7ac-5b04-4880-bcff-21560104e9c4.png => /Users/acgpiano/github/imgcdn/qiniu/20171208/3f4cc7ac-5b04-4880-bcff-21560104e9c4.png success 7.15KB/s
2019/03/01 14:56:08.153 [I]  Download blogs/built/assets/icons/download.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/download.svg success 0.21KB/s
2019/03/01 14:56:08.153 [I]  Downloading blogs/built/assets/icons/id-card.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/id-card.svg
2019/03/01 14:56:08.153 [I]  Download blogs/built/assets/icons/chat-double-bubble.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/chat-double-bubble.svg success 0.95KB/s
2019/03/01 14:56:08.155 [I]  Downloading blogs/built/assets/icons/instagram.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/instagram.svg
2019/03/01 14:56:08.153 [I]  Downloading blogs/built/assets/icons/idea.svg => /Users/acgpiano/github/imgcdn/qiniu/blogs/built/assets/icons/idea.svg
